"Vague","S1. genre","S2. âge","S3. Zone géo","Région","Département","S7b. Taille commune","q5. Certitude/hypothèse impact effet de serre","q11. Solutions changement climatique","q18_i1. Causes GES activités industrielles","q18_i2. Causes GES transports","q18_i3. Causes GES bâtiments","q18_i4. Causes GES agriculture","q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel","q18_i6. Causes GES traitement des déchets","q18_i7. Causes GES destruction des forêts","q18_i8. Causes GES centrales nucléaires","q18_i9. Causes GES activité volcanique","q18_i10. Causes GES bombes aérosols","s13. Nb membres foyer","s15. Diplôme","s17. Type habitat","s18. Statut locataire/propriétaire","s22. Mode de transport","s25. Sympathie mouvements écologistes","poids","age"
"Vague 07","Un homme","18-24 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Pas du tout","Peu","Pas du tout","Beaucoup","Peu","Pas du tout","Peu","1 personne","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Locataire","En vélo ou à pied","...peu de sympathie ?","1","23"
"Vague 07","Un homme","50-64 ans","Sud Est","Languedoc - Roussillon - Midi - Pyrénées","Gard","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Assez","Beaucoup","Assez","Assez","Beaucoup","Assez","Assez","Assez","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","64"
"Vague 07","Un homme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","Peu","3 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1","20"
"Vague 07","Un homme","15-17 ans","Ile de France","Ile de France","Val-de-Marne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Beaucoup","Peu","Assez","Assez","Peu","4 personnes et +","BEPC, BREVET DES COLLEGES","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...peu de sympathie ?","1","17"
"Vague 07","Une femme","50-64 ans","Sud Est","Languedoc - Roussillon - Midi - Pyrénées","Aude","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Assez","Beaucoup","No rep.","Assez","Beaucoup","Assez","No rep.","Peu","1 personne","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...assez de sympathie ?","1","60"
"Vague 07","Un homme","50-64 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Peu","Beaucoup","Pas du tout","Peu","Peu","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Pas du tout","2 personnes","No rep.","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1","52"
"Vague 07","Une femme","35-49 ans","Sud Est","Auvergne - Rhône - Alpes","Savoie","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Assez","Assez","Assez","Assez","Peu","Beaucoup","3 personnes","CAP - BEP","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","1","40"
"Vague 07","Un homme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","4 personnes et +","CAP - BEP","Autre","Autre","No rep.","...pas de sympathie du tout ?","1","86"
"Vague 07","Un homme","65 ans et +","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Marne","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Beaucoup","Peu","Peu","Peu","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1","80"
"Vague 07","Un homme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Lot-et-Garonne","Dans une ville de 20.000 à moins de 100.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","Peu","Peu","Pas du tout","Peu","No rep.","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","80"
"Vague 07","Un homme","50-64 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Assez","2 personnes","CAP - BEP","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1","54"
"Vague 07","Un homme","50-64 ans","Nord Ouest","Bretagne","Finistère","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Assez","Assez","Assez","Assez","Assez","Beaucoup","Pas du tout","Assez","Pas du tout","4 personnes et +","No rep.","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","55"
"Vague 07","Un homme","15-17 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Assez","Peu","Pas du tout","Beaucoup","Peu","Peu","Beaucoup","Pas du tout","Assez","4 personnes et +","No rep.","Un appartement","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","1","16"
"Vague 07","Un homme","50-64 ans","Nord Ouest","Basse - Normandie - Haute - Normandie","Orne","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Assez","Beaucoup","Peu","Peu","Peu","Assez","Assez","Peu","Peu","Beaucoup","3 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","60"
"Vague 07","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Peu","Beaucoup","Peu","Peu","Beaucoup","2 personnes","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...assez de sympathie ?","1","53"
"Vague 07","Une femme","18-24 ans","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","19"
"Vague 07","Un homme","15-17 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","No rep.","Peu","No rep.","Beaucoup","Peu","No rep.","Peu","No rep.","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En train","...assez de sympathie ?","1","17"
"Vague 07","Un homme","35-49 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Lot","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Assez","Assez","Assez","Peu","Assez","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","41"
"Vague 07","Une femme","25-34 ans","Sud Est","Auvergne - Rhône - Alpes","Savoie","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Pas du tout","No rep.","Beaucoup","Pas du tout","Beaucoup","No rep.","Beaucoup","4 personnes et +","CAP - BEP","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","30"
"Vague 07","Un homme","35-49 ans","Nord Est","Bourgogne - Franche - Comté","Doubs","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Pas du tout","Beaucoup","4 personnes et +","CAP - BEP","Un appartement","Autre","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","45"
"Vague 07","Un homme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Pas du tout","Assez","Peu","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Assez","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","70"
"Vague 07","Un homme","50-64 ans","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","No rep.","Assez","Beaucoup","Peu","Assez","Beaucoup","2 personnes","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","60"
"Vague 07","Un homme","18-24 ans","Ile de France","Ile de France","Seine-et-Marne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Assez","Assez","Pas du tout","Pas du tout","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1","19"
"Vague 07","Un homme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Haute-Vienne","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Peu","Pas du tout","Beaucoup","1 personne","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En vélo ou à pied","...assez de sympathie ?","1","21"
"Vague 07","Une femme","50-64 ans","Sud Est","Auvergne - Rhône - Alpes","Isère","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Peu","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","53"
"Vague 07","Un homme","50-64 ans","Nord Ouest","Pays de la Loire","Loire-Atlantique","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Pas du tout","Beaucoup","Beaucoup","Assez","Assez","Pas du tout","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1","53"
"Vague 07","Un homme","18-24 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Haute-Marne","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Assez","Assez","Peu","Peu","Assez","Pas du tout","Peu","Assez","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...peu de sympathie ?","1","23"
"Vague 07","Une femme","18-24 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Assez","Beaucoup","Beaucoup","Pas du tout","Assez","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","20"
"Vague 07","Un homme","18-24 ans","Sud Est","Provence - Alpes - Côte d'Azur","Hautes-Alpes","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Assez","Assez","Peu","Peu","Beaucoup","Assez","Pas du tout","Pas du tout","Peu","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En deux- roues motorisé","...assez de sympathie ?","1","18"
"Vague 07","Un homme","35-49 ans","Sud Est","Auvergne - Rhône - Alpes","Haute-Savoie","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Assez","Assez","Assez","Peu","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","43"
"Vague 07","Un homme","18-24 ans","Nord Ouest","Bretagne","Côtes-d'Armor","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Peu","Assez","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","22"
"Vague 07","Un homme","18-24 ans","Nord Est","Bourgogne - Franche - Comté","Côte-d'Or","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","Assez","Peu","Pas du tout","Beaucoup","Pas du tout","Peu","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","No rep.","1","24"
"Vague 07","Un homme","65 ans et +","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Marne","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Assez","Beaucoup","No rep.","Pas du tout","No rep.","Assez","Beaucoup","No rep.","Peu","Assez","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...pas de sympathie du tout ?","1","71"
"Vague 07","Un homme","18-24 ans","Ile de France","Ile de France","Paris","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","Peu","Peu","Peu","Beaucoup","Peu","Peu","Peu","Pas du tout","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En vélo ou à pied","...peu de sympathie ?","1","23"
"Vague 07","Un homme","25-34 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Beaucoup","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","33"
"Vague 07","Un homme","35-49 ans","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1","44"
"Vague 07","Un homme","65 ans et +","Nord Ouest","Centre","Indre-et-Loire","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Peu","Peu","Beaucoup","No rep.","Peu","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","81"
"Vague 07","Un homme","35-49 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Lot-et-Garonne","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","Peu","Peu","Peu","Assez","Beaucoup","Assez","Pas du tout","Assez","3 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...pas de sympathie du tout ?","1","43"
"Vague 07","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Ariège","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Beaucoup","Beaucoup","No rep.","Beaucoup","Pas du tout","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","50"
"Vague 07","Une femme","18-24 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Beaucoup","Peu","Peu","Beaucoup","Assez","Assez","Beaucoup","Assez","Beaucoup","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","18"
"Vague 07","Un homme","50-64 ans","Ile de France","Ile de France","Paris","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","57"
"Vague 07","Un homme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Peu","Peu","Peu","Pas du tout","Pas du tout","Beaucoup","Beaucoup","Peu","No rep.","Peu","1 personne","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En transports en commun urbains (dont métro)","...pas de sympathie du tout ?","1","71"
"Vague 07","Un homme","50-64 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","No rep.","Beaucoup","Pas du tout","No rep.","Pas du tout","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En deux- roues motorisé","...beaucoup de sympathie ?","1","58"
"Vague 07","Un homme","35-49 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Aube","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Pas du tout","Pas du tout","No rep.","Beaucoup","Pas du tout","Pas du tout","Peu","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Locataire","En vélo ou à pied","...assez de sympathie ?","1","36"
"Vague 07","Un homme","50-64 ans","Sud Est","Auvergne - Rhône - Alpes","Haute-Savoie","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Assez","Beaucoup","Peu","Pas du tout","Beaucoup","3 personnes","CAP - BEP","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","52"
"Vague 07","Un homme","35-49 ans","Nord Ouest","Bretagne","Côtes-d'Armor","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Peu","Peu","Peu","Beaucoup","Peu","Peu","Peu","Peu","Peu","Peu","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1","49"
"Vague 07","Un homme","65 ans et +","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","No rep.","Assez","Beaucoup","Peu","Peu","No rep.","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","73"
"Vague 07","Un homme","18-24 ans","Sud Est","Provence - Alpes - Côte d'Azur","Var","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Assez","Beaucoup","No rep.","Assez","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1","23"
"Vague 07","Un homme","35-49 ans","Sud Est","Auvergne - Rhône - Alpes","Cantal","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Peu","Peu","Peu","Peu","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","CAP - BEP","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1","39"
